,x,y,z,fov_id,predicted_name,predicted_id,probability,distance
85963,1706,947,8,226,Apob,45,0.91767216,
85964,1150,904,8,226,Txndc5,5,0.9999995,
85965,890,551,8,226,Txndc5,5,0.9977303,
85966,990,1329,8,226,Slc51a,1,0.9849295,
85967,715,912,8,226,Slc5a1,50,0.99339265,
85968,453,474,8,226,Slc51a,1,0.9999764,
85969,1168,443,8,226,Ffar2,128,0.9998161,
85970,1917,314,8,226,background,266,0.6276732,
85971,1799,1138,8,226,Slc51a,1,0.70221645,
85972,663,1539,8,226,Slc51a,1,0.9999646,
85973,1375,595,8,226,background,266,0.8849549,
85974,1178,905,8,226,Fzd5,167,0.9999968,
85975,808,1125,8,226,background,266,0.99710494,
85976,1121,176,8,226,Adgrf5,23,0.999997,
85977,1418,1552,8,226,Tigit,78,0.99712545,
85978,880,404,8,226,background,266,0.97943646,
85979,1319,813,8,226,Sdc1,92,0.9999995,
85980,1722,316,8,226,Slc51a,1,0.99997663,
85981,47,415,8,226,Slc51a,1,0.99893504,
85982,652,1628,8,226,Clca3b,7,0.54247063,
85983,996,940,8,226,Tnfrsf21,122,0.9999937,
85984,1295,287,8,226,Tbxa2r,161,0.97157425,
85985,1139,476,8,226,Txndc5,5,0.99999344,
85986,1085,1252,8,226,background,266,0.8427079,
85987,1418,1469,8,226,Adra1d,180,0.6694827,
85988,1391,484,8,226,Slc51a,1,0.58802265,
85989,767,1705,8,226,Ada,48,0.58008647,
85990,755,1188,8,226,Net1,46,0.70994216,
85991,1732,1115,8,226,background,266,0.7616314,
85992,587,1468,8,226,background,266,0.9951988,
85993,1744,320,8,226,Slc51a,1,1.0,
85994,842,1153,8,226,S1pr2,157,0.9974299,
85995,831,1548,8,226,Sox4,20,0.94720066,
85996,753,1343,8,226,background,266,0.9996507,
85997,1570,1317,8,226,Taar7a,212,0.65631366,
85998,1579,731,8,226,Apob,45,0.9369231,
85999,711,1637,8,226,background,266,0.9465421,
86000,614,1330,8,226,background,266,0.96410865,
86001,1246,369,8,226,Net1,46,0.9964406,
86002,1152,1150,8,226,Ffar2,128,0.83726156,
86003,716,1607,8,226,Gpr34,143,0.911842,
86004,1092,933,8,226,background,266,0.9930137,
86005,37,674,8,226,Mpo,98,0.991891,
86006,950,910,8,226,Vim,58,0.9416072,
86007,1619,386,8,226,Lpar3,137,0.94840014,
86008,768,729,8,226,Ffar2,128,0.999686,
86009,892,492,8,226,Vim,58,0.9999676,
86010,555,237,8,226,Ptger4,153,1.0,
86011,1238,305,8,226,Slc51a,1,0.99999535,
86012,1113,688,8,226,background,266,0.9966807,
86013,1254,20,8,226,Htr6,206,0.96711785,
86014,1042,599,8,226,Taar7a,212,0.66783375,
86015,1298,629,8,226,Taar7a,212,0.79090196,
86016,1743,841,8,226,Slc51a,1,0.9999999,
86017,1072,554,8,226,Ighd,94,0.974238,
86018,1245,608,8,226,Slc5a1,50,0.9947212,
86019,1333,407,8,226,background,266,0.80281544,
86020,1420,1510,8,226,Net1,46,0.9999665,
86021,1294,734,8,226,Slc51a,1,0.9999392,
86022,785,652,8,226,Ptger4,153,0.9998498,
86023,1359,667,8,226,Apob,45,0.9999585,
86024,1012,422,8,226,Txndc5,5,0.6920737,
86025,1618,551,8,226,background,266,0.99936515,
86026,904,1590,8,226,Net1,46,0.6069535,
86027,1922,324,8,226,Maoa,2,0.937354,
86028,745,1290,8,226,Scarb1,31,0.9814689,
86029,631,459,8,226,Txndc5,5,0.99997807,
86030,1231,917,8,226,Tbxa2r,161,0.5275149,
86031,1589,660,8,226,Vim,58,0.67179155,
86032,1245,990,8,226,Sdc1,92,1.0,
86033,1298,877,8,226,Apob,45,0.9997254,
86034,746,1055,8,226,Rcor2,19,0.6277963,
86035,1187,316,8,226,Itgae,84,0.7268144,
86036,1205,481,8,226,Net1,46,0.9999646,
86037,1673,338,8,226,Maoa,2,0.9219536,
86038,1668,396,8,226,Gpr87,141,0.6077378,
86039,697,1131,8,226,Lpar1,135,0.9998765,
86040,1280,796,8,226,Slc51a,1,0.9954259,
86041,1930,1212,8,226,C1qb,110,0.99999475,
86042,844,1024,8,226,Blank-09,250,0.5970971,
86043,1288,840,8,226,background,266,0.99861944,
86044,47,539,8,226,background,266,0.9982279,
86045,487,485,8,226,Slc51a,1,0.99612135,
86046,1946,296,8,226,Maoa,2,0.9983455,
86047,1010,585,8,226,H2-Eb1,104,0.9753363,
86048,883,503,8,226,background,266,0.99997437,
86049,1889,361,8,226,Slc51a,1,0.9999995,
86050,780,1741,8,226,Apob,45,0.9425002,
86051,1742,1285,8,226,Htr1f,199,0.99803644,
86052,854,1152,8,226,S1pr2,157,0.9935626,
86053,1775,258,8,226,Slc51a,1,0.56495297,
86054,593,832,8,226,background,266,0.72802675,
86055,951,1474,8,226,Apob,45,0.9976292,
86056,1083,524,8,226,C1qc,117,0.9999672,
86057,1831,1585,8,226,Apob,45,0.7314952,
86058,1289,13,8,226,Taar7a,212,0.5817493,
86059,925,1180,8,226,Cd79b,89,0.77488047,
86060,1744,1140,8,226,background,266,0.9575601,
86061,1193,977,8,226,Txndc5,5,0.9999896,
86062,767,658,8,226,background,266,0.98224,
86063,4,606,8,226,Adra2c,183,0.9901113,
86064,1270,938,8,226,Ptger4,153,0.9920195,
86065,625,1223,8,226,Slc51a,1,0.99999964,
86066,1205,817,8,226,background,266,0.99700695,
86067,892,207,8,226,Ffar4,130,0.98569435,
86068,975,623,8,226,S1pr2,157,0.88523823,
86069,1289,584,8,226,Slc51a,1,1.0,
86070,1788,117,8,226,background,266,0.99569345,
86071,1748,1143,8,226,Slc51a,1,0.97247905,
86072,1204,790,8,226,Net1,46,0.9990859,
86073,1720,554,8,226,Kiss1r,228,0.7572341,
86074,1597,383,8,226,Slc51a,1,0.93947744,
86075,1739,351,8,226,Blank-18,259,0.5599292,
86076,1281,763,8,226,Slc51a,1,1.0,
86077,1745,419,8,226,Cd3e,68,0.9997389,
86078,890,1174,8,226,Txndc5,5,0.8469324,
86079,1804,1216,8,226,Vim,58,0.997696,
86080,1281,556,8,226,background,266,0.6029668,
86081,1616,1129,8,226,Ada,48,0.9999583,
86082,895,1159,8,226,Cd79a,88,0.9999988,
86083,1024,667,8,226,H2-Eb1,104,0.985905,
86084,1080,502,8,226,background,266,0.85441536,
86085,648,855,8,226,background,266,0.76614344,
86086,1311,597,8,226,Tbxa2r,161,0.9557188,
86087,1113,1125,8,226,Taar7a,212,0.9927759,
86088,909,1483,8,226,Net1,46,0.99999154,
86089,479,399,8,226,background,266,0.66702914,
86090,964,1457,8,226,Marcksl1,56,0.69995946,
86091,42,643,8,226,Ifnar1,75,0.99294585,
86092,1690,1323,8,226,background,266,0.98325944,
86093,1096,1118,8,226,Neat1,49,0.9987847,
86094,1895,376,8,226,Sdc1,92,0.9997008,
86095,1583,462,8,226,Slc51a,1,0.9999999,
86096,27,644,8,226,Cd4,69,0.90218973,
86097,1693,767,8,226,S1pr2,157,0.9982145,
86098,746,975,8,226,S1pr2,157,0.6876229,
86099,878,1619,8,226,Ffar4,130,0.85418785,
86100,895,345,8,226,C1qb,110,0.73657995,
86101,1782,897,8,226,Slc51a,1,0.9996402,
86102,698,1168,8,226,Maoa,2,0.9378439,
86103,1819,1535,8,226,Neat1,49,0.9861311,
86104,1824,1176,8,226,background,266,0.6155204,
86105,723,1489,8,226,Apob,45,0.79321533,
86106,823,619,8,226,Thy1,60,0.99995863,
86107,775,1436,8,226,background,266,0.999406,
86108,869,319,8,226,Blank-12,253,0.92849183,
86109,1812,390,8,226,Slc51a,1,1.0,
86110,1300,606,8,226,Sdc1,92,0.9560172,
86111,811,1719,8,226,Ada,48,0.83057564,
86112,816,1539,8,226,Net1,46,1.0,
86113,1097,1330,8,226,Apob,45,0.9991374,
86114,1010,937,8,226,Fzd1,162,0.98977125,
86115,1348,635,8,226,S1pr2,157,0.99968433,
